Standard Stats,Standard Stats,Standard Stats,season,competition,minutes_played
Pass Completion %,91.0%,96,2021-2022,2021-2022 Ligue 1,1937.0
Total Passing Distance,1376.62,98,2021-2022,2021-2022 Ligue 1,1937.0
Progressive Passing Distance,410.46,96,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Passes Completed (Short),49.76,99,2021-2022,2021-2022 Ligue 1,1937.0
Passes Attempted (Short),52.64,99,2021-2022,2021-2022 Ligue 1,1937.0
Pass Completion % (Short),94.5%,96,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Passes Completed (Medium),31.60,99,2021-2022,2021-2022 Ligue 1,1937.0
Passes Attempted (Medium),33.69,98,2021-2022,2021-2022 Ligue 1,1937.0
Pass Completion % (Medium),93.8%,96,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Passes Completed (Long),5.58,80,2021-2022,2021-2022 Ligue 1,1937.0
Passes Attempted (Long),7.06,73,2021-2022,2021-2022 Ligue 1,1937.0
Pass Completion % (Long),78.9%,89,2021-2022,2021-2022 Ligue 1,1937.0
Assists,0.09,55,2021-2022,2021-2022 Ligue 1,1937.0
xAG: Exp. Assisted Goals,0.11,56,2021-2022,2021-2022 Ligue 1,1937.0
xA: Expected Assists,0.18,82,2021-2022,2021-2022 Ligue 1,1937.0
Key Passes,1.44,75,2021-2022,2021-2022 Ligue 1,1937.0
Passes into Final Third,8.97,98,2021-2022,2021-2022 Ligue 1,1937.0
Passes into Penalty Area,1.95,98,2021-2022,2021-2022 Ligue 1,1937.0
Crosses into Penalty Area,0.05,29,2021-2022,2021-2022 Ligue 1,1937.0
Progressive Passes,8.97,98,2021-2022,2021-2022 Ligue 1,1937.0
Pass Types,Pass Types,Pass Types,2021-2022,2021-2022 Ligue 1,1937.0
Statistic,Per 90,Percentile,2021-2022,2021-2022 Ligue 1,1937.0
Passes Attempted,99.94,99,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Live-ball Passes,94.65,99,2021-2022,2021-2022 Ligue 1,1937.0
Dead-ball Passes,4.79,85,2021-2022,2021-2022 Ligue 1,1937.0
Passes from Free Kicks,2.88,94,2021-2022,2021-2022 Ligue 1,1937.0
Through Balls,0.28,82,2021-2022,2021-2022 Ligue 1,1937.0
Switches,0.65,70,2021-2022,2021-2022 Ligue 1,1937.0
Crosses,0.42,30,2021-2022,2021-2022 Ligue 1,1937.0
Throw-ins Taken,1.63,95,2021-2022,2021-2022 Ligue 1,1937.0
Corner Kicks,0.23,58,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Inswinging Corner Kicks,0.09,61,2021-2022,2021-2022 Ligue 1,1937.0
Outswinging Corner Kicks,0.05,55,2021-2022,2021-2022 Ligue 1,1937.0
Straight Corner Kicks,0.00,47,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Passes Completed,90.93,99,2021-2022,2021-2022 Ligue 1,1937.0
Passes Offside,0.51,2,2021-2022,2021-2022 Ligue 1,1937.0
Passes Blocked,1.25,14,2021-2022,2021-2022 Ligue 1,1937.0
Goal and Shot Creation,Goal and Shot Creation,Goal and Shot Creation,2021-2022,2021-2022 Ligue 1,1937.0
Statistic,Per 90,Percentile,2021-2022,2021-2022 Ligue 1,1937.0
Shot-Creating Actions,3.48,82,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
SCA (Live-ball Pass),3.21,97,2021-2022,2021-2022 Ligue 1,1937.0
SCA (Dead-ball Pass),0.09,55,2021-2022,2021-2022 Ligue 1,1937.0
SCA (Take-On),0.05,36,2021-2022,2021-2022 Ligue 1,1937.0
SCA (Shot),0.00,8,2021-2022,2021-2022 Ligue 1,1937.0
SCA (Fouls Drawn),0.14,61,2021-2022,2021-2022 Ligue 1,1937.0
SCA (Defensive Action),0.00,19,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Goal-Creating Actions,0.28,64,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
GCA (Live-ball Pass),0.28,82,2021-2022,2021-2022 Ligue 1,1937.0
GCA (Dead-ball Pass),0.00,39,2021-2022,2021-2022 Ligue 1,1937.0
GCA (Take-On),0.00,38,2021-2022,2021-2022 Ligue 1,1937.0
GCA (Shot),0.00,34,2021-2022,2021-2022 Ligue 1,1937.0
GCA (Fouls Drawn),0.00,36,2021-2022,2021-2022 Ligue 1,1937.0
GCA (Defensive Action),0.00,47,2021-2022,2021-2022 Ligue 1,1937.0
Defense,Defense,Defense,2021-2022,2021-2022 Ligue 1,1937.0
Statistic,Per 90,Percentile,2021-2022,2021-2022 Ligue 1,1937.0
Tackles,2.79,82,2021-2022,2021-2022 Ligue 1,1937.0
Tackles Won,1.86,92,2021-2022,2021-2022 Ligue 1,1937.0
Tackles (Def 3rd),0.74,47,2021-2022,2021-2022 Ligue 1,1937.0
Tackles (Mid 3rd),1.39,82,2021-2022,2021-2022 Ligue 1,1937.0
Tackles (Att 3rd),0.65,96,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Dribblers Tackled,1.49,92,2021-2022,2021-2022 Ligue 1,1937.0
Dribbles Challenged,2.97,84,2021-2022,2021-2022 Ligue 1,1937.0
% of Dribblers Tackled,50.0%,79,2021-2022,2021-2022 Ligue 1,1937.0
Challenges Lost,1.49,30,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Blocks,1.67,90,2021-2022,2021-2022 Ligue 1,1937.0
Shots Blocked,0.46,90,2021-2022,2021-2022 Ligue 1,1937.0
Passes Blocked,1.21,89,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Interceptions,0.84,35,2021-2022,2021-2022 Ligue 1,1937.0
Tkl+Int,3.62,66,2021-2022,2021-2022 Ligue 1,1937.0
Clearances,0.65,43,2021-2022,2021-2022 Ligue 1,1937.0
Errors,0.09,7,2021-2022,2021-2022 Ligue 1,1937.0
Possession,Possession,Possession,2021-2022,2021-2022 Ligue 1,1937.0
Statistic,Per 90,Percentile,2021-2022,2021-2022 Ligue 1,1937.0
Touches,109.61,99,2021-2022,2021-2022 Ligue 1,1937.0
Touches (Def Pen),2.42,75,2021-2022,2021-2022 Ligue 1,1937.0
Touches (Def 3rd),18.07,87,2021-2022,2021-2022 Ligue 1,1937.0
Touches (Mid 3rd),67.70,99,2021-2022,2021-2022 Ligue 1,1937.0
Touches (Att 3rd),24.63,93,2021-2022,2021-2022 Ligue 1,1937.0
Touches (Att Pen),1.53,60,2021-2022,2021-2022 Ligue 1,1937.0
Touches (Live-Ball),109.61,99,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Take-Ons Attempted,2.65,72,2021-2022,2021-2022 Ligue 1,1937.0
Successful Take-Ons,2.14,93,2021-2022,2021-2022 Ligue 1,1937.0
Successful Take-On %,80.7%,94,2021-2022,2021-2022 Ligue 1,1937.0
Times Tackled During Take-On,0.51,61,2021-2022,2021-2022 Ligue 1,1937.0
Tackled During Take-On Percentage,19.3%,94,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Carries,80.66,99,2021-2022,2021-2022 Ligue 1,1937.0
Total Carrying Distance,380.91,99,2021-2022,2021-2022 Ligue 1,1937.0
Progressive Carrying Distance,193.80,99,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Progressive Carries,2.60,71,2021-2022,2021-2022 Ligue 1,1937.0
Carries into Final Third,3.86,99,2021-2022,2021-2022 Ligue 1,1937.0
Carries into Penalty Area,0.23,55,2021-2022,2021-2022 Ligue 1,1937.0
Miscontrols,1.30,64,2021-2022,2021-2022 Ligue 1,1937.0
Dispossessed,0.98,56,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Passes Received,89.44,99,2021-2022,2021-2022 Ligue 1,1937.0
Progressive Passes Rec,2.93,55,2021-2022,2021-2022 Ligue 1,1937.0
Miscellaneous Stats,Miscellaneous Stats,Miscellaneous Stats,2021-2022,2021-2022 Ligue 1,1937.0
Statistic,Per 90,Percentile,2021-2022,2021-2022 Ligue 1,1937.0
Yellow Cards,0.56,1,2021-2022,2021-2022 Ligue 1,1937.0
Red Cards,0.00,61,2021-2022,2021-2022 Ligue 1,1937.0
Second Yellow Card,0.00,54,2021-2022,2021-2022 Ligue 1,1937.0
Fouls Committed,1.49,43,2021-2022,2021-2022 Ligue 1,1937.0
Fouls Drawn,2.23,93,2021-2022,2021-2022 Ligue 1,1937.0
Offsides,0.05,49,2021-2022,2021-2022 Ligue 1,1937.0
Crosses,0.42,30,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Interceptions,0.84,35,2021-2022,2021-2022 Ligue 1,1937.0
Tackles Won,1.86,92,2021-2022,2021-2022 Ligue 1,1937.0
Penalty Kicks Won,0.00,40,2021-2022,2021-2022 Ligue 1,1937.0
Penalty Kicks Conceded,0.00,61,2021-2022,2021-2022 Ligue 1,1937.0
Own Goals,0.05,2,2021-2022,2021-2022 Ligue 1,1937.0
Ball Recoveries,5.90,46,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
Aerials Won,0.23,5,2021-2022,2021-2022 Ligue 1,1937.0
Aerials Lost,0.51,88,2021-2022,2021-2022 Ligue 1,1937.0
% of Aerials Won,31.3%,11,2021-2022,2021-2022 Ligue 1,1937.0
Goals,0.00,36,2021-2022,2021-2022 Champions League,430.0
Assists,0.00,33,2021-2022,2021-2022 Champions League,430.0
Goals + Assists,0.00,25,2021-2022,2021-2022 Champions League,430.0
Non-Penalty Goals,0.00,37,2021-2022,2021-2022 Champions League,430.0
Penalty Kicks Made,0.00,49,2021-2022,2021-2022 Champions League,430.0
Penalty Kicks Attempted,0.00,49,2021-2022,2021-2022 Champions League,430.0
Yellow Cards,0.42,22,2021-2022,2021-2022 Champions League,430.0
Red Cards,0.00,53,2021-2022,2021-2022 Champions League,430.0
xG: Expected Goals,0.00,7,2021-2022,2021-2022 Champions League,430.0
npxG: Non-Penalty xG,0.00,8,2021-2022,2021-2022 Champions League,430.0
xAG: Exp. Assisted Goals,0.08,49,2021-2022,2021-2022 Champions League,430.0
npxG + xAG,0.08,32,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Progressive Carries,1.05,38,2021-2022,2021-2022 Champions League,430.0
Progressive Passes,6.07,73,2021-2022,2021-2022 Champions League,430.0
Progressive Passes Rec,1.88,46,2021-2022,2021-2022 Champions League,430.0
Shooting,Shooting,Shooting,2021-2022,2021-2022 Champions League,430.0
Statistic,Per 90,Percentile,2021-2022,2021-2022 Champions League,430.0
Goals,0.00,36,2021-2022,2021-2022 Champions League,430.0
Shots Total,0.00,3,2021-2022,2021-2022 Champions League,430.0
Shots on Target,0.00,18,2021-2022,2021-2022 Champions League,430.0
Shots from Free Kicks,0.00,43,2021-2022,2021-2022 Champions League,430.0
Penalty Kicks Made,0.00,49,2021-2022,2021-2022 Champions League,430.0
Penalty Kicks Attempted,0.00,49,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
xG: Expected Goals,0.00,7,2021-2022,2021-2022 Champions League,430.0
npxG: Non-Penalty xG,0.00,8,2021-2022,2021-2022 Champions League,430.0
Goals - xG,0.00,69,2021-2022,2021-2022 Champions League,430.0
Non-Penalty Goals - npxG,0.00,71,2021-2022,2021-2022 Champions League,430.0
Passing,Passing,Passing,2021-2022,2021-2022 Champions League,430.0
Statistic,Per 90,Percentile,2021-2022,2021-2022 Champions League,430.0
Passes Completed,84.14,97,2021-2022,2021-2022 Champions League,430.0
Passes Attempted,93.77,98,2021-2022,2021-2022 Champions League,430.0
Pass Completion %,89.7%,88,2021-2022,2021-2022 Champions League,430.0
Total Passing Distance,1133.16,91,2021-2022,2021-2022 Champions League,430.0
Progressive Passing Distance,303.07,88,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Passes Completed (Short),48.35,99,2021-2022,2021-2022 Champions League,430.0
Passes Attempted (Short),51.49,99,2021-2022,2021-2022 Champions League,430.0
Pass Completion % (Short),93.9%,87,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Passes Completed (Medium),24.70,88,2021-2022,2021-2022 Champions League,430.0
Passes Attempted (Medium),26.37,87,2021-2022,2021-2022 Champions League,430.0
Pass Completion % (Medium),93.7%,90,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Passes Completed (Long),3.14,41,2021-2022,2021-2022 Champions League,430.0
Passes Attempted (Long),3.98,32,2021-2022,2021-2022 Champions League,430.0
Pass Completion % (Long),78.9%,72,2021-2022,2021-2022 Champions League,430.0
Assists,0.00,33,2021-2022,2021-2022 Champions League,430.0
xAG: Exp. Assisted Goals,0.08,49,2021-2022,2021-2022 Champions League,430.0
xA: Expected Assists,0.10,59,2021-2022,2021-2022 Champions League,430.0
Key Passes,2.09,90,2021-2022,2021-2022 Champions League,430.0
Passes into Final Third,4.60,67,2021-2022,2021-2022 Champions League,430.0
Passes into Penalty Area,0.84,59,2021-2022,2021-2022 Champions League,430.0
Crosses into Penalty Area,0.00,33,2021-2022,2021-2022 Champions League,430.0
Progressive Passes,6.07,73,2021-2022,2021-2022 Champions League,430.0
Pass Types,Pass Types,Pass Types,2021-2022,2021-2022 Champions League,430.0
Statistic,Per 90,Percentile,2021-2022,2021-2022 Champions League,430.0
Passes Attempted,93.77,98,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Live-ball Passes,89.37,98,2021-2022,2021-2022 Champions League,430.0
Dead-ball Passes,4.40,84,2021-2022,2021-2022 Champions League,430.0
Passes from Free Kicks,3.35,94,2021-2022,2021-2022 Champions League,430.0
Through Balls,0.63,93,2021-2022,2021-2022 Champions League,430.0
Switches,0.63,63,2021-2022,2021-2022 Champions League,430.0
Crosses,0.00,8,2021-2022,2021-2022 Champions League,430.0
Throw-ins Taken,0.84,87,2021-2022,2021-2022 Champions League,430.0
Corner Kicks,0.21,60,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Inswinging Corner Kicks,0.00,34,2021-2022,2021-2022 Champions League,430.0
Outswinging Corner Kicks,0.00,34,2021-2022,2021-2022 Champions League,430.0
Straight Corner Kicks,0.00,47,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Passes Completed,84.14,97,2021-2022,2021-2022 Champions League,430.0
Passes Offside,0.00,77,2021-2022,2021-2022 Champions League,430.0
Passes Blocked,2.30,2,2021-2022,2021-2022 Champions League,430.0
Goal and Shot Creation,Goal and Shot Creation,Goal and Shot Creation,2021-2022,2021-2022 Champions League,430.0
Statistic,Per 90,Percentile,2021-2022,2021-2022 Champions League,430.0
Shot-Creating Actions,4.60,94,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
SCA (Live-ball Pass),4.40,98,2021-2022,2021-2022 Champions League,430.0
SCA (Dead-ball Pass),0.00,32,2021-2022,2021-2022 Champions League,430.0
SCA (Take-On),0.21,83,2021-2022,2021-2022 Champions League,430.0
SCA (Shot),0.00,30,2021-2022,2021-2022 Champions League,430.0
SCA (Fouls Drawn),0.00,33,2021-2022,2021-2022 Champions League,430.0
SCA (Defensive Action),0.00,43,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Goal-Creating Actions,0.21,50,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
GCA (Live-ball Pass),0.21,59,2021-2022,2021-2022 Champions League,430.0
GCA (Dead-ball Pass),0.00,47,2021-2022,2021-2022 Champions League,430.0
GCA (Take-On),0.00,48,2021-2022,2021-2022 Champions League,430.0
GCA (Shot),0.00,46,2021-2022,2021-2022 Champions League,430.0
GCA (Fouls Drawn),0.00,46,2021-2022,2021-2022 Champions League,430.0
GCA (Defensive Action),0.00,49,2021-2022,2021-2022 Champions League,430.0
Defense,Defense,Defense,2021-2022,2021-2022 Champions League,430.0
Statistic,Per 90,Percentile,2021-2022,2021-2022 Champions League,430.0
Tackles,2.72,69,2021-2022,2021-2022 Champions League,430.0
Tackles Won,1.67,76,2021-2022,2021-2022 Champions League,430.0
Tackles (Def 3rd),1.47,83,2021-2022,2021-2022 Champions League,430.0
Tackles (Mid 3rd),1.05,67,2021-2022,2021-2022 Champions League,430.0
Tackles (Att 3rd),0.21,40,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Dribblers Tackled,1.26,77,2021-2022,2021-2022 Champions League,430.0
Dribbles Challenged,1.88,32,2021-2022,2021-2022 Champions League,430.0
% of Dribblers Tackled,66.7%,96,2021-2022,2021-2022 Champions League,430.0
Challenges Lost,0.63,93,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Blocks,2.30,95,2021-2022,2021-2022 Champions League,430.0
Shots Blocked,0.84,95,2021-2022,2021-2022 Champions League,430.0
Passes Blocked,1.47,81,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Interceptions,1.26,54,2021-2022,2021-2022 Champions League,430.0
Tkl+Int,3.98,70,2021-2022,2021-2022 Champions League,430.0
Clearances,1.05,61,2021-2022,2021-2022 Champions League,430.0
Errors,0.00,57,2021-2022,2021-2022 Champions League,430.0
Possession,Possession,Possession,2021-2022,2021-2022 Champions League,430.0
Statistic,Per 90,Percentile,2021-2022,2021-2022 Champions League,430.0
Touches,107.37,99,2021-2022,2021-2022 Champions League,430.0
Touches (Def Pen),4.81,95,2021-2022,2021-2022 Champions League,430.0
Touches (Def 3rd),29.51,99,2021-2022,2021-2022 Champions League,430.0
Touches (Mid 3rd),57.98,95,2021-2022,2021-2022 Champions League,430.0
Touches (Att 3rd),21.35,78,2021-2022,2021-2022 Champions League,430.0
Touches (Att Pen),1.88,69,2021-2022,2021-2022 Champions League,430.0
Touches (Live-Ball),107.37,99,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Take-Ons Attempted,3.77,88,2021-2022,2021-2022 Champions League,430.0
Successful Take-Ons,2.93,92,2021-2022,2021-2022 Champions League,430.0
Successful Take-On %,77.8%,81,2021-2022,2021-2022 Champions League,430.0
Times Tackled During Take-On,0.84,39,2021-2022,2021-2022 Champions League,430.0
Tackled During Take-On Percentage,22.2%,81,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Carries,60.28,95,2021-2022,2021-2022 Champions League,430.0
Total Carrying Distance,280.26,92,2021-2022,2021-2022 Champions League,430.0
Progressive Carrying Distance,136.67,92,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Progressive Carries,1.05,38,2021-2022,2021-2022 Champions League,430.0
Carries into Final Third,2.30,84,2021-2022,2021-2022 Champions League,430.0
Carries into Penalty Area,0.21,53,2021-2022,2021-2022 Champions League,430.0
Miscontrols,1.26,58,2021-2022,2021-2022 Champions League,430.0
Dispossessed,2.72,3,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Passes Received,82.05,98,2021-2022,2021-2022 Champions League,430.0
Progressive Passes Rec,1.88,46,2021-2022,2021-2022 Champions League,430.0
Miscellaneous Stats,Miscellaneous Stats,Miscellaneous Stats,2021-2022,2021-2022 Champions League,430.0
Statistic,Per 90,Percentile,2021-2022,2021-2022 Champions League,430.0
Yellow Cards,0.42,22,2021-2022,2021-2022 Champions League,430.0
Red Cards,0.00,53,2021-2022,2021-2022 Champions League,430.0
Second Yellow Card,0.00,52,2021-2022,2021-2022 Champions League,430.0
Fouls Committed,1.05,66,2021-2022,2021-2022 Champions League,430.0
Fouls Drawn,2.09,88,2021-2022,2021-2022 Champions League,430.0
Offsides,0.00,62,2021-2022,2021-2022 Champions League,430.0
Crosses,0.00,8,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Interceptions,1.26,54,2021-2022,2021-2022 Champions League,430.0
Tackles Won,1.67,76,2021-2022,2021-2022 Champions League,430.0
Penalty Kicks Won,0.00,48,2021-2022,2021-2022 Champions League,430.0
Penalty Kicks Conceded,0.00,53,2021-2022,2021-2022 Champions League,430.0
Own Goals,0.00,50,2021-2022,2021-2022 Champions League,430.0
Ball Recoveries,6.91,62,2021-2022,2021-2022 Champions League,430.0
,,,2021-2022,2021-2022 Champions League,430.0
Aerials Won,0.21,14,2021-2022,2021-2022 Champions League,430.0
Aerials Lost,0.42,83,2021-2022,2021-2022 Champions League,430.0
% of Aerials Won,33.3%,30,2021-2022,2021-2022 Champions League,430.0
Goals,0.00,40,2021-2022,2021 UEFA Euro 2020,397.0
Assists,0.45,96,2021-2022,2021 UEFA Euro 2020,397.0
Goals + Assists,0.45,86,2021-2022,2021 UEFA Euro 2020,397.0
Non-Penalty Goals,0.00,40,2021-2022,2021 UEFA Euro 2020,397.0
Penalty Kicks Made,0.00,49,2021-2022,2021 UEFA Euro 2020,397.0
Penalty Kicks Attempted,0.00,48,2021-2022,2021 UEFA Euro 2020,397.0
Yellow Cards,0.23,39,2021-2022,2021 UEFA Euro 2020,397.0
Red Cards,0.00,51,2021-2022,2021 UEFA Euro 2020,397.0
xG: Expected Goals,0.14,81,2021-2022,2021 UEFA Euro 2020,397.0
npxG: Non-Penalty xG,0.14,83,2021-2022,2021 UEFA Euro 2020,397.0
xAG: Exp. Assisted Goals,0.27,94,2021-2022,2021 UEFA Euro 2020,397.0
npxG + xAG,0.39,89,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Progressive Carries,1.59,61,2021-2022,2021 UEFA Euro 2020,397.0
Progressive Passes,7.03,83,2021-2022,2021 UEFA Euro 2020,397.0
Progressive Passes Rec,2.04,56,2021-2022,2021 UEFA Euro 2020,397.0
Shooting,Shooting,Shooting,2021-2022,2021 UEFA Euro 2020,397.0
Statistic,Per 90,Percentile,2021-2022,2021 UEFA Euro 2020,397.0
Goals,0.00,40,2021-2022,2021 UEFA Euro 2020,397.0
Shots Total,0.91,54,2021-2022,2021 UEFA Euro 2020,397.0
Shots on Target,0.45,81,2021-2022,2021 UEFA Euro 2020,397.0
Shots on Target %,50.0%,73,2021-2022,2021 UEFA Euro 2020,397.0
Goals/Shot,0.00,40,2021-2022,2021 UEFA Euro 2020,397.0
Goals/Shot on Target,0.00,40,2021-2022,2021 UEFA Euro 2020,397.0
Average Shot Distance,18.00,75,2021-2022,2021 UEFA Euro 2020,397.0
Shots from Free Kicks,0.00,45,2021-2022,2021 UEFA Euro 2020,397.0
Penalty Kicks Made,0.00,49,2021-2022,2021 UEFA Euro 2020,397.0
Penalty Kicks Attempted,0.00,48,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
xG: Expected Goals,0.14,81,2021-2022,2021 UEFA Euro 2020,397.0
npxG: Non-Penalty xG,0.14,83,2021-2022,2021 UEFA Euro 2020,397.0
npxG/Shot,0.14,84,2021-2022,2021 UEFA Euro 2020,397.0
Goals - xG,-0.14,13,2021-2022,2021 UEFA Euro 2020,397.0
Non-Penalty Goals - npxG,-0.14,11,2021-2022,2021 UEFA Euro 2020,397.0
Passing,Passing,Passing,2021-2022,2021 UEFA Euro 2020,397.0
Statistic,Per 90,Percentile,2021-2022,2021 UEFA Euro 2020,397.0
Passes Completed,91.36,99,2021-2022,2021 UEFA Euro 2020,397.0
Passes Attempted,98.61,99,2021-2022,2021 UEFA Euro 2020,397.0
Pass Completion %,92.6%,94,2021-2022,2021 UEFA Euro 2020,397.0
Total Passing Distance,1451.34,98,2021-2022,2021 UEFA Euro 2020,397.0
Progressive Passing Distance,360.91,96,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Passes Completed (Short),48.97,99,2021-2022,2021 UEFA Euro 2020,397.0
Passes Attempted (Short),51.23,99,2021-2022,2021 UEFA Euro 2020,397.0
Pass Completion % (Short),95.6%,95,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Passes Completed (Medium),32.87,94,2021-2022,2021 UEFA Euro 2020,397.0
Passes Attempted (Medium),34.23,94,2021-2022,2021 UEFA Euro 2020,397.0
Pass Completion % (Medium),96.0%,89,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Passes Completed (Long),7.25,88,2021-2022,2021 UEFA Euro 2020,397.0
Passes Attempted (Long),8.84,89,2021-2022,2021 UEFA Euro 2020,397.0
Pass Completion % (Long),82.1%,78,2021-2022,2021 UEFA Euro 2020,397.0
Assists,0.45,96,2021-2022,2021 UEFA Euro 2020,397.0
xAG: Exp. Assisted Goals,0.27,94,2021-2022,2021 UEFA Euro 2020,397.0
xA: Expected Assists,0.14,71,2021-2022,2021 UEFA Euro 2020,397.0
Key Passes,3.17,99,2021-2022,2021 UEFA Euro 2020,397.0
Passes into Final Third,8.61,93,2021-2022,2021 UEFA Euro 2020,397.0
Passes into Penalty Area,1.13,71,2021-2022,2021 UEFA Euro 2020,397.0
Crosses into Penalty Area,0.23,73,2021-2022,2021 UEFA Euro 2020,397.0
Progressive Passes,7.03,83,2021-2022,2021 UEFA Euro 2020,397.0
Pass Types,Pass Types,Pass Types,2021-2022,2021 UEFA Euro 2020,397.0
Statistic,Per 90,Percentile,2021-2022,2021 UEFA Euro 2020,397.0
Passes Attempted,98.61,99,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Live-ball Passes,92.72,99,2021-2022,2021 UEFA Euro 2020,397.0
Dead-ball Passes,5.89,96,2021-2022,2021 UEFA Euro 2020,397.0
Passes from Free Kicks,2.27,91,2021-2022,2021 UEFA Euro 2020,397.0
Through Balls,0.23,63,2021-2022,2021 UEFA Euro 2020,397.0
Switches,0.45,59,2021-2022,2021 UEFA Euro 2020,397.0
Crosses,1.59,74,2021-2022,2021 UEFA Euro 2020,397.0
Throw-ins Taken,2.49,98,2021-2022,2021 UEFA Euro 2020,397.0
Corner Kicks,1.13,84,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Inswinging Corner Kicks,0.68,89,2021-2022,2021 UEFA Euro 2020,397.0
Outswinging Corner Kicks,0.23,83,2021-2022,2021 UEFA Euro 2020,397.0
Straight Corner Kicks,0.00,49,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Passes Completed,91.36,99,2021-2022,2021 UEFA Euro 2020,397.0
Passes Offside,0.00,71,2021-2022,2021 UEFA Euro 2020,397.0
Passes Blocked,1.13,29,2021-2022,2021 UEFA Euro 2020,397.0
Goal and Shot Creation,Goal and Shot Creation,Goal and Shot Creation,2021-2022,2021 UEFA Euro 2020,397.0
Statistic,Per 90,Percentile,2021-2022,2021 UEFA Euro 2020,397.0
Shot-Creating Actions,6.35,98,2021-2022,2021 UEFA Euro 2020,397.0
