Standard Stats,Standard Stats,Standard Stats,season,competition,minutes_played
SCA (Fouls Drawn),0.00,32,2022-2023,2022-2023 Champions League,623.0
SCA (Defensive Action),0.00,42,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
Goal-Creating Actions,0.43,81,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
GCA (Live-ball Pass),0.43,86,2022-2023,2022-2023 Champions League,623.0
GCA (Dead-ball Pass),0.00,46,2022-2023,2022-2023 Champions League,623.0
GCA (Take-On),0.00,48,2022-2023,2022-2023 Champions League,623.0
GCA (Shot),0.00,46,2022-2023,2022-2023 Champions League,623.0
GCA (Fouls Drawn),0.00,48,2022-2023,2022-2023 Champions League,623.0
GCA (Defensive Action),0.00,49,2022-2023,2022-2023 Champions League,623.0
Defense,Defense,Defense,2022-2023,2022-2023 Champions League,623.0
Statistic,Per 90,Percentile,2022-2023,2022-2023 Champions League,623.0
Tackles,3.90,96,2022-2023,2022-2023 Champions League,623.0
Tackles Won,2.60,97,2022-2023,2022-2023 Champions League,623.0
Tackles (Def 3rd),1.73,89,2022-2023,2022-2023 Champions League,623.0
Tackles (Mid 3rd),1.73,88,2022-2023,2022-2023 Champions League,623.0
Tackles (Att 3rd),0.43,77,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
Dribblers Tackled,1.30,81,2022-2023,2022-2023 Champions League,623.0
Dribbles Challenged,4.04,98,2022-2023,2022-2023 Champions League,623.0
% of Dribblers Tackled,32.1%,21,2022-2023,2022-2023 Champions League,623.0
Challenges Lost,2.74,3,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
Blocks,1.88,83,2022-2023,2022-2023 Champions League,623.0
Shots Blocked,0.72,93,2022-2023,2022-2023 Champions League,623.0
Passes Blocked,1.16,66,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
Interceptions,0.87,37,2022-2023,2022-2023 Champions League,623.0
Tkl+Int,4.77,88,2022-2023,2022-2023 Champions League,623.0
Clearances,0.00,4,2022-2023,2022-2023 Champions League,623.0
Errors,0.29,4,2022-2023,2022-2023 Champions League,623.0
Possession,Possession,Possession,2022-2023,2022-2023 Champions League,623.0
Statistic,Per 90,Percentile,2022-2023,2022-2023 Champions League,623.0
Touches,108.20,99,2022-2023,2022-2023 Champions League,623.0
Touches (Def Pen),3.03,81,2022-2023,2022-2023 Champions League,623.0
Touches (Def 3rd),24.85,96,2022-2023,2022-2023 Champions League,623.0
Touches (Mid 3rd),65.30,99,2022-2023,2022-2023 Champions League,623.0
Touches (Att 3rd),19.07,78,2022-2023,2022-2023 Champions League,623.0
Touches (Att Pen),0.72,26,2022-2023,2022-2023 Champions League,623.0
Touches (Live-Ball),108.20,99,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
Take-Ons Attempted,2.60,81,2022-2023,2022-2023 Champions League,623.0
Successful Take-Ons,1.59,88,2022-2023,2022-2023 Champions League,623.0
