Standard Stats,Standard Stats,Standard Stats,season,competition,minutes_played
Passes into Final Third,10.68,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Passes into Penalty Area,1.59,93,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Crosses into Penalty Area,0.15,63,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Progressive Passes,8.66,95,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Pass Types,Pass Types,Pass Types,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Statistic,Per 90,Percentile,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Passes Attempted,104.33,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Live-ball Passes,100.01,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Dead-ball Passes,4.15,81,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Passes from Free Kicks,3.30,96,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Through Balls,0.47,92,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Switches,1.09,97,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Crosses,1.09,62,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Throw-ins Taken,0.42,79,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Corner Kicks,0.17,63,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Inswinging Corner Kicks,0.07,64,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Outswinging Corner Kicks,0.02,62,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Straight Corner Kicks,0.00,46,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Passes Completed,97.18,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Passes Offside,0.17,47,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Passes Blocked,0.84,40,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Goal and Shot Creation,Goal and Shot Creation,Goal and Shot Creation,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Statistic,Per 90,Percentile,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Shot-Creating Actions,3.67,90,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
SCA (Live-ball Pass),3.08,94,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
SCA (Dead-ball Pass),0.27,72,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
SCA (Take-On),0.12,82,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
SCA (Shot),0.10,51,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
SCA (Fouls Drawn),0.02,18,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
SCA (Defensive Action),0.07,71,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Goal-Creating Actions,0.47,88,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
GCA (Live-ball Pass),0.37,90,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
GCA (Dead-ball Pass),0.05,85,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
GCA (Take-On),0.02,86,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
GCA (Shot),0.00,34,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
GCA (Fouls Drawn),0.00,38,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
GCA (Defensive Action),0.02,89,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Defense,Defense,Defense,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Statistic,Per 90,Percentile,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Tackles,1.49,17,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Tackles Won,0.87,19,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Tackles (Def 3rd),0.45,10,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
